发展	FA_T1 ZHAN_T3
阜康	FU_T4 KANG_T1
泸县	LU_T2 XIAN_T4
太康县	TAI_T4 KANG_T1 XIAN_T4
宝应	BAO_T3 YING_T4
隆昌	LONG_T2 CHANG_T1
南江县	
天长	TIAN_T1 CHANG_T2
辛集	XIN_T1 JI_T2
屯昌县	
广水	GUANG_T2 SHUI_T3
丰城	FENG_T1 CHENG_T2
涡阳县	
吉达	JI_T2 DA_T2
延边朝鲜族自治州	
临清	LIN_T2 QING_T1
周宁	ZHOU_T1 NING_T2
南湾街道	
闽侯县	
富县	FU_T4 XIAN_T4
政和	ZHENG_T4 HE_T2
原平	YUAN_T2 PING_T2
阿坝县	
秦都区	
新和	XIN_T1 HE_T2
二村	ER_T4 CUN_T1
万安	WAN_T4 AN_T1
头屯河区	
通许县	
托克逊县	TUO_T1 KE_T4 XUN_T4 XIAN_T4
水磨沟区	
延寿	YAN_T2 SHOU_T4
赤道几内亚	CHI_T4 DAO_T4 JI_T3 NEI_T4 YA_T4
几内亚比绍	JI_T3 NEI_T4 YA_T4 BI_T3 SHAO_T4
潮阳区	
铁力	TIE_T3 LI_T4
二连浩特	ER_T4 LIAN_T2 HAO_T4 TE_T4
北市区	
吴中	WU_T2 ZHONG_T1
霸州	BA_T4 ZHOU_T1
淄川	ZI_T1 CHUAN_T1
凤县	FENG_T4 XIAN_T4
西乡街道	
临渭区	
竹山	ZHU_T2 SHAN_T1
博乐	BO_T2 LE_T4
邹城	ZOU_T1 CHENG_T2
利辛县	
且末县	
荣昌县	RONG_T2 CHANG_T1 XIAN_T4
通山县	
万城镇	
农安县	NONG_T2 AN_T1 XIAN_T4
林口	LIN_T2 KOU_T3
洪洞县	HONG_T2 DONG_T4 XIAN_T4
郸城县	DAN_T1 CHENG_T2 XIAN_T4
高安	GAO_T1 AN_T1
黄江镇	HUANG_T2 JIANG_T1 ZHEN_T4
桥东区	
临澧县	LIN_T2 LI_T3 XIAN_T4
弥勒	MI_T2 LE_T4
介休	JIE_T4 XIU_T1
镇雄县	
周村	ZHOU_T1 CUN_T1
河津	HE_T2 JIN_T1
南漳县	
侯马	HOU_T4 MA_T3;HOU_T2 MA_T3
波特兰	BO_T1 TE_T4 LAN_T2
所罗门群岛	SUO_T3 LUO_T2 MEN_T2 QUN_T2 DAO_T3
肥城	FEI_T2 CHENG_T2
岐山	QI_T2 SHAN_T1
黔东南苗族侗族自治州	
沙溪镇	
马兰	MA_T3 LAN_T2
宜宾县	
淳安县	CHUN_T2 AN_T1 XIAN_T4
凤翔县	FENG_T4 XIANG_T2 XIAN_T4
温宿县	
石龙镇	
三台县	
盱眙县	
圣路易斯	SHENG_T4 LU_T4 YI_T4 SI_T1
南浦	NAN_T2 PU_T3
和硕县	
永嘉县	YONG_T3 JIA_T1 XIAN_T4
盐湖区	
丹凤	DAN_T1 FENG_T4
黄梅县	HUANG_T2 MEI_T2 XIAN_T4
通城县	
耀州区	
达累斯萨拉姆	DA_T2 LEI_T4 SI_T1 SA_T4 LA_T1 MU_T3;DA_T2 LEI_T2 SI_T1 SA_T4 LA_T0 MU_T3
泰顺县	TAI_T4 SHUN_T4 XIAN_T4
临洮县	LIN_T2 TAO_T2 XIAN_T4
北湖区	
惠来县	HUI_T4 LAI_T2 XIAN_T4
会泽县	
沁阳	QIN_T4 YANG_T2
尉犁县	
陈仓区	
海沧区	
庆安	QING_T4 AN_T1
浠水县	
叙永县	XU_T4 YONG_T3 XIAN_T4
拉塔基亚	
贵溪	GUI_T4 XI_T1
响水县	
石碣镇	
扬中	YANG_T2 ZHONG_T1
大荔县	
高桥镇	
饶平县	RAO_T2 PING_T2 XIAN_T4
巴楚县	
沂源县	YI_T2 YUAN_T2 XIAN_T4
磁县	CI_T2 XIAN_T4
怀远县	
和平县	
魁北克	KUI_T2 BEI_T3 KE_T4
建始县	JIAN_T4 SHI_T3 XIAN_T4
迪庆藏族自治州	
高埗镇	
遵义县	
栾川县	LUAN_T2 CHUAN_T1 XIAN_T4
固始县	GU_T4 SHI_T3 XIAN_T4
绥芬河	SUI_T2 FEN_T1 HE_T2
德兴	DE_T2 XING_T1;DE_T2 XING_T4
博乐市	
平南县	
光山县	GUANG_T1 SHAN_T1 XIAN_T4
城厢	CHENG_T2 XIANG_T1
始兴县	
吴中区	
道里区	
连城县	LIAN_T2 CHENG_T2 XIAN_T4
宝丰县	BAO_T3 FENG_T1 XIAN_T4
宣州区	
鲁山	LU_T3 SHAN_T1
安溪县	AN_T1 XI_T1 XIAN_T4
嵩明县	SONG_T1 MING_T2 XIAN_T4
新镇	XIN_T1 ZHEN_T4
曲江区	
大化	DA_T4 HUA_T4
湖里区	
思明区	
蒙山	MENG_T2 SHAN_T1;MENG_T3 SHAN_T1
新昌县	XIN_T1 CHANG_T1 XIAN_T4
四子王旗	SI_T4 ZI_T3 WANG_T2 QI_T2
于田	YU_T2 TIAN_T2
澄海区	
新县	XIN_T1 XIAN_T4
青田县	QING_T1 TIAN_T2 XIAN_T4
南溪	NAN_T2 XI_T1
天等	TIAN_T1 DENG_T3
嫩江	NEN_T4 JIANG_T1
永安镇	
东川区	
怀宁县	
田村	TIAN_T2 CUN_T1
黄山区	
砀山县	DANG_T4 SHAN_T1 XIAN_T4
乔治敦	QIAO_T2 ZHI_T4 DUN_T1
崇阳县	CHONG_T2 YANG_T2 XIAN_T4
富蕴县	
沙井街道	
婺城区	
王村	
如东县	RU_T2 DONG_T1 XIAN_T4
阜平县	FU_T4 PING_T2 XIAN_T4
福海	FU_T2 HAI_T3
黎平	LI_T2 PING_T2
渑池县	
宜良县	
乌什县	
滨湖区	
盘县	PAN_T2 XIAN_T4
明水	MING_T2 SHUI_T3
盐都区	
乌恰县	
东山村	DONG_T1 SHAN_T1 CUN_T1
图们	TU_T2 MEN_T2;TU_T2 MEN_T0
蒸湘区	
茅台镇	
回民区	
迁安	QIAN_T1 AN_T1
福永街道	
利兹	LI_T4 ZI_T1
九龙镇	
嘉鱼	JIA_T1 YU_T2
元山	YUAN_T2 SHAN_T1
婺源县	WU_T4 YUAN_T2 XIAN_T4
桂平	GUI_T4 PING_T2
樊城区	
东村	DONG_T1 CUN_T1
特克斯县	TE_T4 KE_T4 SI_T1 XIAN_T4
商南县	
吉木萨尔县	
大岭山镇	
平遥县	PING_T2 YAO_T2 XIAN_T4
阳城县	YANG_T2 CHENG_T2 XIAN_T4
成县	CHENG_T2 XIAN_T4
罗城	LUO_T2 CHENG_T2
新山	XIN_T1 SHAN_T1
景谷	JING_T2 GU_T3
宿松县	
王益	WANG_T2 YI_T4
晋州	JIN_T4 ZHOU_T1
高青县	GAO_T1 QING_T1 XIAN_T4
先进村	XIAN_T1 JIN_T4 CUN_T1
东丽区	
淳化	CHUN_T2 HUA_T4
拜城县	
江阳区	
锡林浩特	XI_T1 LIN_T2 HAO_T4 TE_T4
青山湖区	
泗阳县	SI_T4 YANG_T2 XIAN_T4
城区街道	
通江县	
额敏县	E_T2 MIN_T3 XIAN_T4
张北县	ZHANG_T1 BEI_T3 XIAN_T4
绍兴县	SHAO_T4 XING_T1 XIAN_T4
铜仁地区	
端州区	
广南	GUANG_T3 NAN_T2
淮阴区	
伽师县	
龙川县	LONG_T2 CHUAN_T1 XIAN_T4
峡江	XIA_T2 JIANG_T1
东乡县	
平安县	PING_T2 AN_T1 XIAN_T4
定远县	
新罗	XIN_T1 LUO_T2
南湖区	
宁安	NING_T2 AN_T1
武安	WU_T3 AN_T1
灌云县	GUAN_T4 YUN_T2 XIAN_T4
淄川区	
哈巴河县	
易县	YI_T4 XIAN_T4
阿克陶县	
尉氏县	
加里宁格勒	JIA_T1 LI_T3 NING_T2 GE_T2 LE_T4
荥经县	
新和县	
涧西区	
高唐	GAO_T1 TANG_T2
企石镇	
珠晖区	
新丰县	XIN_T1 FENG_T1 XIAN_T4
古县	GU_T3 XIAN_T4
佛得角	FO_T2 DE_T2 JIAO_T3
康平	KANG_T1 PING_T2
集美区	
广德	GUANG_T3 DE_T2
玉门	YU_T4 MEN_T2
富源县	FU_T4 YUAN_T2 XIAN_T4
临泉县	LIN_T2 QUAN_T2 XIAN_T4
庄河	ZHUANG_T1 HE_T2
兴山	XING_T1 SHAN_T1
佳县	JIA_T1 XIAN_T4
石排镇	
明光	MING_T2 GUANG_T1
大桥镇	
松滋	SONG_T1 ZI_T1
洛浦县	LUO_T4 PU_T3 XIAN_T4
德城区	
邻水县	
费县	FEI_T4 XIAN_T4
兴山县	
东城街道	
丹凤县	DAN_T1 FENG_T4 XIAN_T4
纽卡斯尔	NIU_T2 KA_T3 SI_T1 ER_T3
陆良县	
夏县	XIA_T4 XIAN_T4
颍上县	
安塞县	
开远	KAI_T1 YUAN_T3
河北区	
唐河县	TANG_T2 HE_T2 XIAN_T4
长滩	CHANG_T2 TAN_T1
泾阳县	JING_T1 YANG_T2 XIAN_T4
邵武	SHAO_T4 WU_T3
建始	JIAN_T4 SHI_T3
青阳	QING_T1 YANG_T2
郧西县	
东安县	DONG_T1 AN_T1 XIAN_T4
谯城区	
三乡镇	
襄汾县	XIANG_T1 FEN_T2 XIAN_T4
集安	JI_T2 AN_T1
芗城区	
青河县	QING_T1 HE_T2 XIAN_T4
灵关镇	
通道侗族自治县	
敦化	DUN_T1 HUA_T4
红古区	
甘州区	
榕江	RONG_T2 JIANG_T1
建瓯	JIAN_T4 OU_T1
界首	JIE_T4 SHOU_T3
广宁县	
大方县	
顺庆区	
玉环县	YU_T4 HUAN_T2 XIAN_T4
珊瑚岛	SHAN_T1 HU_T2 DAO_T3
安国	AN_T1 GUO_T2
泗县	SI_T4 XIAN_T4
洛宁县	
徽州区	
文成县	WEN_T2 CHENG_T2 XIAN_T4
沙雅县	
康定县	KANG_T1 DING_T4 XIAN_T4
黄花镇	
石鼓区	
长白	CHANG_T2 BAI_T2
永济	YONG_T3 JI_T4
大悟县	
陇县	LONG_T3 XIAN_T4
习水县	
东山镇	
安丘	AN_T1 QIU_T1
双鸭山	SHUANG_T1 YA_T1 SHAN_T1
黄村镇	
新泰	XIN_T1 TAI_T4
东山街道	
含山县	
罗源	LUO_T2 YUAN_T2
灌南县	
椒江区	
淮阳县	HUAI_T2 YANG_T2 XIAN_T4
九台	JIU_T3 TAI_T2
乌鲁木齐县	
深州	SHEN_T1 ZHOU_T1
同心县	
红桥	HONG_T2 QIAO_T2
冈比亚	GANG_T1 BI_T3 YA_T4
洋浦经济开发区	
江华瑶族自治县	
安岳县	AN_T1 YUE_T4 XIAN_T4
大名县	
云溪区	
夷陵	YI_T2 LING_T2
双江	SHUANG_T1 JIANG_T1
岳池县	YUE_T4 CHI_T2 XIAN_T4
柳城县	LIU_T3 CHENG_T2 XIAN_T4
新罗区	
关丹	GUAN_T1 DAN_T1
伯尔尼	BO_T2 ER_T3 NI_T2;BO_T2 ER_T0 NI_T2
霍邱县	HUO_T4 QIU_T1 XIAN_T4
秦州区	
龙泉镇	
彭山县	PENG_T2 SHAN_T1 XIAN_T4
禹城	YU_T3 CHENG_T2
贡嘎	GONG_T4 GA_T1
偃师	YAN_T3 SHI_T1
永宁县	
虞城县	YU_T2 CHENG_T2 XIAN_T4
江村	JIANG_T1 CUN_T1
广饶县	
岳西县	
芦溪县	
古浪县	
尼玛	NI_T2 MA_T3
金浦	JIN_T1 PU_T3
西吉县	
寿阳县	SHOU_T4 YANG_T2 XIAN_T4
射洪县	SHE_T4 HONG_T2 XIAN_T4
古城镇	
新村社区	
夏邑县	XIA_T4 YI_T4 XIAN_T4
礼县	LI_T3 XIAN_T4
全州县	QUAN_T2 ZHOU_T1 XIAN_T4
南城街道	
左权县	ZUO_T3 QUAN_T2 XIAN_T4
石棉县	
道外区	
茶山镇	
狮山镇	
开曼群岛	KAI_T1 MAN_T4 QUN_T2 DAO_T3
镜湖	JING_T4 HU_T2
西青区	
坪地街道	
龙门镇	
临川区	
内乡县	
霞浦县	XIA_T2 PU_T3 XIAN_T4
武乡县	
黄陵县	HUANG_T2 LING_T2 XIAN_T4
西峡县	
丰顺县	FENG_T1 SHUN_T4 XIAN_T4
安特卫普	AN_T1 TE_T4 WEI_T4 PU_T3
始兴	SHI_T3 XING_T1
胜利村	
柳城	LIU_T3 CHENG_T2
休宁县	
东港区	
兴隆镇	
昭苏	ZHAO_T1 SU_T1
芝罘区	
长宁县	
合江县	
黄兴镇	
裕民县	YU_T4 MIN_T2 XIAN_T4
陕县	SHAN_T3 XIAN_T4
和村镇	
尧都区	
域城镇	
古城村	GU_T3 CHENG_T2 CUN_T1
民权县	MIN_T2 QUAN_T2 XIAN_T4
兴文县	
项城	XIANG_T4 CHENG_T2
梁山县	
红桥区	
同江	TONG_T2 JIANG_T1
广安区	
路桥区	
永平	YONG_T3 PING_T2
西平县	
龙马潭区	
剑阁县	JIAN_T4 GE_T2 XIAN_T4
应县	YING_T1 XIAN_T4;YING_T4 XIAN_T4
汉源县	HAN_T4 YUAN_T2 XIAN_T4
枞阳县	
宣汉县	XUAN_T1 HAN_T4 XIAN_T4
三圣乡	
东升镇	
黟县	YI_T1 XIAN_T4
宣恩县	XUAN_T1 EN_T1 XIAN_T4
鹿邑县	LU_T4 YI_T4 XIAN_T4
武义县	
揭西县	
横山县	
新蔡县	XIN_T1 CAI_T4 XIAN_T4
天宁区	
皋兰县	GAO_T1 LAN_T2 XIAN_T4
阜南县	
泽州县	ZE_T2 ZHOU_T1 XIAN_T4
宿城区	
乌兰浩特	WU_T1 LAN_T2 HAO_T4 TE_T4
伯尼	BO_T2 NI_T2
和平镇	
孟津县	MENG_T4 JIN_T1 XIAN_T4
织金县	
鹤峰县	HE_T4 FENG_T1 XIAN_T4
松岗街道	
荣县	RONG_T2 XIAN_T4
齐河县	
竹山县	ZHU_T2 SHAN_T1 XIAN_T4
怀来县	HUAI_T2 LAI_T2 XIAN_T4
大祥区	
平定县	PING_T2 DING_T4 XIAN_T4
台中县	
科摩罗	KE_T1 MO_T2 LUO_T2
滦县	LUAN_T2 XIAN_T4
灵璧县	
师宗县	SHI_T1 ZONG_T1 XIAN_T4
邹平县	
灵寿县	
太谷县	
吴起	WU_T2 QI_T3
古交	GU_T3 JIAO_T1
和田县	
靖州苗族侗族自治县	
平武县	PING_T2 WU_T3 XIAN_T4
东湖区	
黄骅	HUANG_T2 HUA_T2
五家渠	WU_T3 JIA_T1 QU_T2
东平县	DONG_T1 PING_T2 XIAN_T4
博山区	
德庆县	DE_T2 QING_T4 XIAN_T4
沈丘县	SHEN_T3 QIU_T1 XIAN_T4
塔林	TA_T3 LIN_T2
社旗县	SHE_T4 QI_T2 XIAN_T4
苍溪县	CANG_T1 XI_T1 XIAN_T4
吉县	JI_T2 XIAN_T4
山丹	SHAN_T1 DAN_T1
永吉县	
麦积区	
当涂县	
宜阳县	
通海	TONG_T1 HAI_T3
涪城区	
任县	REN_T4 XIAN_T4
行唐	HANG_T2 TANG_T1
吴起县	WU_T2 QI_T3 XIAN_T4
五村	
娄烦县	
谷城县	
仁化县	
沂南	YI_T2 NAN_T2
乳山	RU_T3 SHAN_T1
宿豫区	
桂城街道	
保康	BAO_T3 KANG_T1
涟水县	
台南县	
上街区	
商水县	
北川羌族自治县	BEI_T3 CHUAN_T1 QIANG_T1 ZU_T2 ZI_T4 ZHI_T4 XIAN_T4
筠连县	
威远县	
延寿县	YAN_T2 SHOU_T4 XIAN_T4
安定区	
金台区	
台江区	
东山区	
赣县	GAN_T4 XIAN_T4
略阳县	LVE_T4 YANG_T2 XIAN_T4
莘县	SHEN_T1 XIAN_T4
大竹县	
潜山县	QIAN_T2 SHAN_T1 XIAN_T4
桓台县	
永年县	YONG_T3 NIAN_T2 XIAN_T4
遂昌县	
聂拉木县	
仙居县	XIAN_T1 JU_T1 XIAN_T4
准格尔旗	ZHUN_T3 GE_T2 ER_T3 QI_T2
东至县	DONG_T1 ZHI_T4 XIAN_T4
五台县	
东山县	DONG_T1 SHAN_T1 XIAN_T4
阿荣旗	A_T1 RONG_T2 QI_T2
瑞昌	RUI_T4 CHANG_T1
纳溪区	
苏里南	SU_T1 LI_T3 NAN_T2
洛泽河镇	
盐池	YAN_T2 CHI_T2
陵水黎族自治县	
四村	SI_T4 CUN_T1
人和镇	
巩留县	GONG_T3 LIU_T2 XIAN_T4
方城县	FANG_T1 CHENG_T2 XIAN_T4
富顺县	FU_T4 SHUN_T4 XIAN_T4
孟州	MENG_T4 ZHOU_T1
三河镇	
石泉	SHI_T2 QUAN_T2
贝尔法斯特	BEI_T4 ER_T2 FA_T3 SI_T1 TE_T4
连平县	LIAN_T2 PING_T2 XIAN_T4
天山天池	TIAN_T1 SHAN_T1 TIAN_T1 CHI_T2
柞水县	
文山壮族苗族自治州	WEN_T2 SHAN_T1 ZHUANG_T4 ZU_T2 MIAO_T2 ZU_T2 ZI_T4 ZHI_T4 ZHOU_T1
昌邑	CHANG_T1 YI_T4
柘城县	ZHE_T4 CHENG_T2 XIAN_T4
中山区	
甘井子区	
叶县	YE_T4 XIAN_T4
精河县	JING_T1 HE_T2 XIAN_T4
阿瓦提县	
围场	WEI_T2 CHANG_T3
浦江县	PU_T3 JIANG_T1 XIAN_T4
南召县	
石岩街道	
平陆县	
西宫	XI_T1 GONG_T1
合阳县	
进贤县	
东河区	
宁陕县	
三角镇	
翠屏区	
南庄镇	
梅川镇	
沙洋县	
靖远县	
占城镇	
潞城	LU_T4 CHENG_T2
滨海县	BIN_T1 HAI_T3 XIAN_T4
武平县	WU_T3 PING_T2 XIAN_T4
平远县	
太湖县	TAI_T4 HU_T2 XIAN_T4
无锡新区	
黔西县	
嘉善县	JIA_T1 SHAN_T4 XIAN_T4
延川县	YAN_T2 CHUAN_T1 XIAN_T4
代县	DAI_T4 XIAN_T4
海法	HAI_T2 FA_T3
肃州区	
静海	JING_T4 HAI_T3
罗江	LUO_T2 JIANG_T1
三原县	SAN_T1 YUAN_T2 XIAN_T4
小金县	XIAO_T3 JIN_T1 XIAN_T4
容桂街道	
和硕	HE_T2 SHUO_T4
东丽	DONG_T1 LI_T4
洛龙区	
鄄城县	JUAN_T4 CHENG_T2 XIAN_T4
大关县	
巴塔	BA_T1 TA_T3
襄城县	XIANG_T1 CHENG_T2 XIAN_T4
新安街道	
海陵区	
雅江	YA_T3 JIANG_T1
洪雅县	
徽县	HUI_T1 XIAN_T4
彭泽县	PENG_T2 ZE_T2 XIAN_T4
岑溪	CEN_T2 XI_T1
永定县	YONG_T3 DING_T4 XIAN_T4
博尔塔拉蒙古自治州	
三门县	SAN_T1 MEN_T2 XIAN_T4
惠山	HUI_T4 SHAN_T1
大兴安岭地区	
朔城区	
阿拉尔	A_T1 LA_T1 ER_T3
柳林县	LIU_T3 LIN_T2 XIAN_T4
辉县	HUI_T1 XIAN_T4
高新西区	
南靖县	
太平村	TAI_T4 PING_T2 CUN_T1
宝应县	
城固县	CHENG_T2 GU_T4 XIAN_T4
海丰县	HAI_T3 FENG_T1 XIAN_T4
磐安县	PAN_T2 AN_T1 XIAN_T4
高青	GAO_T1 QING_T1
莲花镇	
仙游	XIAN_T1 YOU_T2
长治县	
策勒县	
遂溪县	
鄢陵县	YAN_T1 LING_T2 XIAN_T4
南朗镇	
布尔津县	BU_T4 ER_T3 JIN_T1 XIAN_T4
地矿局	DI_T4 KUANG_T4 JU_T2
武胜县	
晋安	JIN_T4 AN_T1
弗里敦	
桐柏县	
晋安区	
巴尔	BA_T1 ER_T3
民治街道	
公主岭	GONG_T1 ZHU_T2 LING_T3;GONG_T1 ZHU_T3 LING_T3
古晋	GU_T3 JIN_T4
阿合奇县	
余干县	
民丰县	MIN_T2 FENG_T1 XIAN_T4
留尼汪岛	LIU_T2 NI_T2 WANG_T1 DAO_T3
长汀县	
凉州	LIANG_T2 ZHOU_T1
独山	DU_T2 SHAN_T1
元氏	YUAN_T2 SHI_T4
原州区	
行唐县	
商城县	SHANG_T1 CHENG_T2 XIAN_T4
临夏回族自治州	LIN_T2 XIA_T4 HUI_T2 ZU_T2 ZI_T4 ZHI_T4 ZHOU_T1
罗平县	
礼泉县	LI_T3 QUAN_T2 XIAN_T4
潢川县	HUANG_T2 CHUAN_T1 XIAN_T4
福山区	
乐从镇	
郁南县	
惠安县	HUI_T4 AN_T1 XIAN_T4
梅河口	MEI_T2 HE_T2 KOU_T3
上田	SHANG_T4 TIAN_T2
咸丰县	XIAN_T2 FENG_T1 XIAN_T4
坦帕	TAN_T3 PA_T4
福海县	FU_T2 HAI_T3 XIAN_T4
扶风县	FU_T2 FENG_T1 XIAN_T4
武功县	WU_T3 GONG_T1 XIAN_T4
许昌县	
永兴镇	
乐至县	
索非亚	SUO_T3 FEI_T1 YA_T4
翁牛特旗	WENG_T1 NIU_T2 TE_T4 QI_T2
横县	HENG_T2 XIAN_T4
王益区	
仪陇县	YI_T2 LONG_T3 XIAN_T4
清镇	QING_T1 ZHEN_T4
崆峒区	
乌兰	WU_T1 LAN_T2
翁源县	WENG_T1 YUAN_T2 XIAN_T4
昭苏县	ZHAO_T1 SU_T1 XIAN_T4
梅江区	
旧宫镇	
澎湖县	
列支敦士登	LIE_T4 ZHI_T1 DUN_T1 SHI_T4 DENG_T1
富山	FU_T4 SHAN_T1
赫山区	
怒江傈僳族自治州	NU_T4 JIANG_T1 LI_T4 SU_T4 ZU_T2 ZI_T4 ZHI_T4 ZHOU_T1
遂川县	
新野县	XIN_T1 YE_T3 XIAN_T4
永善县	YONG_T3 SHAN_T4 XIAN_T4
仁怀	REN_T2 HUAI_T2
唐河	TANG_T2 HE_T2
稷山县	JI_T4 SHAN_T1 XIAN_T4
蒲县	PU_T2 XIAN_T4
牡丹区	
昔阳县	XI_T1 YANG_T2 XIAN_T4
原阳县	YUAN_T2 YANG_T2 XIAN_T4
园艺场	YUAN_T2 YI_T4 CHANG_T3
渭源县	WEI_T4 YUAN_T2 XIAN_T4
黔南布依族苗族自治州	
乐陵	LE_T4 LING_T2
圣安东尼奥	SHENG_T4 AN_T1 DONG_T1 NI_T2 AO_T4
罗安达	LUO_T2 AN_T1 DA_T2
正阳县	
南市区	
临猗县	LIN_T2 YI_T1 XIAN_T4
芷江侗族自治县	
额济纳旗	E_T2 JI_T4 NA_T4 QI_T2
连南瑶族自治县	
北塔区	
新干县	
前进村	QIAN_T2 JIN_T4 CUN_T1
远安县	
新绛县	XIN_T1 JIANG_T4 XIAN_T4
平昌县	PING_T2 CHANG_T1 XIAN_T4
武川县	WU_T3 CHUAN_T1 XIAN_T4
南陵县	
北村	BEI_T3 CUN_T1
新桥镇	
庆元	QING_T4 YUAN_T2
博兴县	
郏县	JIA_T2 XIAN_T4
柳江县	LIU_T3 JIANG_T1 XIAN_T4
景泰县	JING_T3 TAI_T4 XIAN_T4
遵化	ZUN_T1 HUA_T4
临颍县	LIN_T2 YING_T3 XIAN_T4
金湖县	JIN_T1 HU_T2 XIAN_T4
蕉城区	
赞皇县	ZAN_T4 HUANG_T2 XIAN_T4
内黄县	NEI_T4 HUANG_T2 XIAN_T4
东坡区	
蒲城县	PU_T2 CHENG_T2 XIAN_T4
容县	RONG_T2 XIAN_T4
铁山	TIE_T3 SHAN_T1
沙湾镇	
长兴县	
板桥镇	
宕昌县	DANG_T4 CHANG_T1 XIAN_T4
阿坝镇	
濉溪县	SUI_T1 XI_T1 XIAN_T4
文水县	
大溪镇	
霍州	HUO_T4 ZHOU_T1
巴州区	
彭泽	PENG_T2 ZE_T2
北流	BEI_T3 LIU_T2
乳源瑶族自治县	RU_T3 YUAN_T2 YAO_T2 ZU_T2 ZI_T4 ZHI_T4 XIAN_T4
南关区	
都昌县	
涞源县	LAI_T2 YUAN_T2 XIAN_T4
福泉	FU_T2 QUAN_T2
宝坻区	
乐东黎族自治县	
于都县	
联合街道	
利通区	
金湾区	
泰山区	
向家乡	
夏津县	XIA_T4 JIN_T1 XIAN_T4
临漳县	LIN_T2 ZHANG_T1 XIAN_T4
怀仁县	HUAI_T2 REN_T2 XIAN_T4
渭城区	
颍州	YING_T3 ZHOU_T1
华亭	HUA_T2 TING_T2
墨玉	MO_T4 YU_T4
旺苍县	WANG_T4 CANG_T1 XIAN_T4
津南区	
渝水区	
米脂县	
乌当区	
兴安县	
定边县	
忻府区	
花园村	
获嘉县	HUO_T4 JIA_T1 XIAN_T4
冠县	GUAN_T4 XIAN_T4
双石镇	
织金	ZHI_T1 JIN_T1
南塔	NAN_T2 TA_T3
泌阳县	
濠江	HAO_T2 JIANG_T1
平原县	PING_T2 YUAN_T2 XIAN_T4
南岳区	
翁田镇	
曾都区	
贵池区	
白水县	
诏安县	ZHAO_T4 AN_T1 XIAN_T4
万荣	WAN_T4 RONG_T2
隆阳区	
开化县	
陈村镇	
南安普敦	NAN_T2 AN_T1 PU_T3 DUN_T1
托里县	
永年	YONG_T3 NIAN_T2
湾里	WAN_T1 LI_T3
金乡县	
纽瓦克	NIU_T2 WA_T3 KE_T4
大田县	
吉隆县	
伊金霍洛旗	YI_T1 JIN_T1 HUO_T4 LUO_T4 QI_T2
大竹	DA_T4 ZHU_T2
魏县	WEI_T4 XIAN_T4
威县	WEI_T1 XIAN_T4
汉台区	
平顺县	PING_T2 SHUN_T4 XIAN_T4
来安县	LAI_T2 AN_T1 XIAN_T4
颍泉区	
会理县	
湖口县	
延平区	
河间	HE_T2 JIAN_T1;HE_T2 JIAN_T4
屏山	PING_T2 SHAN_T1
竹溪县	ZHU_T2 XI_T1 XIAN_T4
云霄县	YUN_T2 XIAO_T1 XIAN_T4
中江县	
公明街道	
兴国县	
万荣县	
古田县	GU_T3 TIAN_T2 XIAN_T4
西樵镇	
阿图什	A_T1 TU_T2 SHI_T2
科纳克里	
西华县	
巴巴多斯	BA_T1 BA_T1 DUO_T1 SI_T1
冕宁县	
遂平县	
资阳区	
平湖街道	
山阴	SHAN_T1 YIN_T1
永修县	YONG_T3 XIU_T1 XIAN_T4
南村镇	
陇西县	
九寨沟县	
红山区	
蕉岭县	
宕昌	DANG_T4 CHANG_T1
观澜街道	
疏勒县	
沙河镇	
秀洲区	
青铜峡	QING_T1 TONG_T2 XIA_T2
镇平县	
临河区	
临沭县	LIN_T2 SHU_T4 XIAN_T4
宁县	NING_T2 XIAN_T4
辽中县	
马尾区	
新建村	XIN_T1 JIAN_T4 CUN_T1
昌吉回族自治州	
襄城区	
义马	YI_T4 MA_T3
云龙区	
金井镇	
巴士拉	BA_T1 SHI_T4 LA_T1
永吉	YONG_T3 JI_T2
镇安县	
西林	XI_T1 LIN_T2
水磨镇	
沁县	QIN_T4 XIAN_T4
微山县	WEI_T1 SHAN_T1 XIAN_T4
余江	YU_T2 JIANG_T1
合水	HE_T2 SHUI_T3
黄州区	
船山区	
祁门县	QI_T2 MEN_T2 XIAN_T4
唐县	TANG_T2 XIAN_T4
武陟县	WU_T3 ZHI_T4 XIAN_T4
绥德县	SUI_T2 DE_T2 XIAN_T4
太康	TAI_T4 KANG_T1
青云谱区	
宋卡	
越城区	
安沙镇	
岚县	LAN_T2 XIAN_T4
宾阳县	BIN_T1 YANG_T2 XIAN_T4
坦洲镇	
固安县	GU_T4 AN_T1 XIAN_T4
袁州区	
沂南县	
巴拿马城	BA_T1 NA_T2 MA_T3 CHENG_T2
洱源	ER_T3 YUAN_T2
马拉加	MA_T3 LA_T1 JIA_T1
紫云	ZI_T3 YUN_T2
黄圃镇	
会昌	HUI_T4 CHANG_T1
双阳区	
屯溪区	
建湖县	JIAN_T4 HU_T2 XIAN_T4
吉隆镇	
宁强县	
嘉祥	JIA_T1 XIANG_T2
香河县	XIANG_T1 HE_T2 XIAN_T4
阿拉善左旗	A_T1 LA_T1 SHAN_T4 ZUO_T3 QI_T2
离石区	
宽城区	
汉阴县	HAN_T4 YIN_T1 XIAN_T4
